method,method_label,mask_mode,seed,run_dir,checkpoint_episode,checkpoint_path,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_eval_episodes,attn_leakage_per_call,attn_calls,attn_entropy_mean,inactive_action_abs_mean
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,76.72643970758182,0.0,0.26531150599006686,0.0,2.5400006257484473,0.0,0.11707363553406747,0.0,2.657074261282515,0.0,1.959545925542291,0.0,19.583333333333332,1,0.0,1464.0,1.9510080279385458,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,70.6800281633495,0.0,0.22581862482338652,0.0,2.9380082832026786,0.0,0.06124104804261346,0.0,2.999249331245292,0.0,2.1863884727811405,0.0,19.375,1,0.0,1464.0,1.8965813828622058,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,76.39606964930057,0.0,0.2786477120823081,0.0,2.5536106143879134,0.0,0.10065698873284716,0.0,2.6542676031207604,0.0,1.9274049007595913,0.0,25.75,1,0.0,1342.0,2.1074328761283168,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,76.36085611979166,0.0,0.22947150160666077,0.0,2.642089354791882,0.0,0.11306914183025334,0.0,2.755158496622135,0.0,1.9808039422964896,0.0,30.0,1,nan,0.0,2.20817383789951,nan
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,74.87247002919516,0.0,0.20232864212130164,0.0,2.9366590658456837,0.0,0.09525283717338129,0.0,3.031911903019065,0.0,2.1648159554841566,0.0,20.0,1,0.0,1464.0,1.8014665656402462,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,1.0,70.6800281633495,0.0,0.22581862482338652,0.0,2.9380082832026786,0.0,0.06124104804261346,0.0,2.999249331245292,0.0,2.1863884727811405,0.0,19.375,1,0.0,1464.0,1.8964544695094634,0.0
full_ours,Full / Ours,full,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260422\models\transformer_10000.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,77.23757320642471,0.0,0.0,0.0,4.492111312761347,0.0,0.36967598033279353,0.0,4.861787293094141,0.0,3.1355175364984134,0.0,1.0,1,0.0,1464.0,0.0,0.0
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,74.35061552742134,0.0,0.08721108446315044,0.0,2.592585812066651,0.0,0.20012998929968792,0.0,2.792715801366339,0.0,2.0057961746129807,0.0,19.583333333333332,1,0.0,1464.0,1.7120951631111525,0.0
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,69.02875904697858,0.0,0.12946448262877733,0.0,2.9804662922641048,0.0,0.13292387605697495,0.0,3.1133901683210796,0.0,2.2188367116448453,0.0,19.375,1,0.0,1464.0,1.59702756357649,0.0
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,73.9998007953547,0.0,0.1480657526624302,0.0,2.614121173092007,0.0,0.189336904388935,0.0,2.8034580774809417,0.0,1.9735944082455747,0.0,25.75,1,0.0,1342.0,1.9260843527691611,0.0
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,74.6691274854872,0.0,0.11291148295757074,0.0,2.6845073823763683,0.0,0.15668666084272678,0.0,2.841194043219095,0.0,2.012622764703702,0.0,30.0,1,nan,0.0,2.0292761983767234,nan
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,72.94946913719177,0.0,0.10542327735473904,0.0,2.9885717310397806,0.0,0.1557023166387925,0.0,3.144274047678573,0.0,2.202606405987757,0.0,20.0,1,0.0,1464.0,1.5099393240089625,0.0
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,1.0,69.02875904697858,0.0,0.12946448262877733,0.0,2.9804662922641048,0.0,0.13292387605697495,0.0,3.1133901683210796,0.0,2.2188367116448453,0.0,19.375,1,0.0,1464.0,1.5915477441959693,0.0
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,77.06028205156326,0.0,0.0,0.0,4.436018711542014,0.0,0.45181580007144584,0.0,4.887834511613461,0.0,3.1405175588790057,0.0,1.0,1,0.0,1464.0,0.0,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,77.5916228785045,0.0,0.40322673331924924,0.0,2.659510429466658,0.0,0.09055567274173583,0.0,2.7500661022083936,0.0,1.940520276161055,0.0,19.583333333333332,1,0.0,1464.0,1.9898402279680545,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,71.05431837462778,0.0,0.310003637932125,0.0,3.013929677782506,0.0,0.0420095206860767,0.0,3.055939198468583,0.0,2.1778843055638326,0.0,19.375,1,0.0,1464.0,1.9471651169120288,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,77.36993136827083,0.0,0.42654733085456664,0.0,2.5356915592197673,0.0,0.08670384049791392,0.0,2.622395399717681,0.0,1.907767832805351,0.0,25.75,1,0.0,1342.0,2.256609782006571,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,77.84756368001302,0.0,0.3289643699279928,0.0,2.5984681307082504,0.0,0.06573141319234149,0.0,2.664199543900592,0.0,1.9508923591652512,0.0,30.0,1,nan,0.0,2.3778647135515683,nan
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,72.6753181139628,0.0,0.32794763955523015,0.0,3.189604988009883,0.0,0.07340206904133038,0.0,3.263007057051213,0.0,2.2040249242184777,0.0,20.0,1,0.0,1464.0,1.834818695738016,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,1.0,71.05431837462778,0.0,0.310003637932125,0.0,3.013929677782506,0.0,0.0420095206860767,0.0,3.055939198468583,0.0,2.1778843055638326,0.0,19.375,1,0.0,1464.0,1.9401120608621607,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,78.3199946085612,0.0,0.0,0.0,4.400436796334759,0.0,0.41899989104829194,0.0,4.819436687383051,0.0,3.1180430282167446,0.0,1.0,1,0.0,1464.0,0.0,0.0
